CAZyme ,Acidobacteriota,Actinobacteriota,Armatimonadota,Asgardarchaeota,Bacteroidota,Binatota,Chloroflexota,Dadabacteria,GCA-001730085,Gemmatimonadota,Euryarchaeota,Hydrogenedentota,Iainarchaeota,Krumholzibacteriota,KSB1,Latescibacterota,Marinisomatota,Methylomirabilota,Myxococcota,Nanoarchaeota,Nitrospinota,Nitrospirota,Omnitrophota,Patescibacteria,Planctomycetota,Poribacteria,Proteobacteria,SAR324,Sumerlaeota,TA06,Thaumarchaeota,UBP7,UBP7_A,Zixibacteria
CE10,1.00,0.93,1.00,1.00,0.92,0.60,0.79,0.57,0.00,0.95,1.00,1.00,0.00,0.00,1.00,1.00,0.76,1.00,0.90,0.00,0.00,0.50,0.00,0.21,0.90,1.00,0.81,1.00,1.00,1.00,0.00,1.00,1.00,0.83
CE11,0.95,0.07,0.75,0.00,0.64,0.80,0.05,0.00,1.00,0.91,0.00,0.60,0.00,0.00,0.86,1.00,0.90,1.00,0.40,0.00,0.94,1.00,1.00,0.00,0.85,1.00,0.92,1.00,1.00,1.00,0.00,1.00,1.00,1.00
CE14,0.89,0.71,0.50,1.00,0.94,0.00,0.96,0.00,0.00,1.00,1.00,0.60,0.00,1.00,1.00,1.00,0.07,1.00,0.20,0.13,0.13,0.17,0.00,0.46,0.76,1.00,0.10,0.00,0.00,0.00,0.05,0.00,0.00,1.00
CE15,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CE1,0.58,0.36,1.00,1.00,0.75,0.80,0.44,0.00,0.00,0.64,0.00,1.00,0.00,0.00,0.86,1.00,0.62,0.00,0.90,0.00,0.56,0.50,0.00,0.13,0.72,1.00,0.53,0.00,1.00,1.00,0.00,1.00,0.00,0.50
CE3,0.26,0.00,0.00,0.00,0.11,0.00,0.01,0.00,0.00,0.18,0.00,0.20,0.00,1.00,0.29,0.00,0.10,0.00,0.00,0.00,0.06,0.33,0.00,0.04,0.06,1.00,0.02,0.86,1.00,0.00,0.00,0.00,0.00,0.08
CE4,0.63,0.29,0.75,0.00,0.86,1.00,0.64,0.00,1.00,0.55,1.00,0.40,0.00,1.00,0.93,1.00,0.41,1.00,0.50,0.00,0.13,0.33,1.00,0.17,0.90,1.00,0.76,1.00,1.00,0.00,0.18,0.00,1.00,0.83
CE7,0.00,0.00,0.75,0.00,0.00,0.00,0.45,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.13,0.00,0.00,0.00,0.34,1.00,0.01,0.14,1.00,0.00,0.00,0.00,0.00,0.00
CE9,0.11,0.14,0.75,0.00,0.06,0.00,0.08,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,1.00,0.10,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.20,1.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GH0,0.21,0.57,1.00,0.00,0.94,0.80,0.44,0.29,0.50,0.91,0.00,0.60,0.00,0.00,0.93,0.00,0.28,1.00,0.20,0.00,0.19,0.50,0.00,0.25,0.82,1.00,0.47,0.43,0.00,0.00,0.00,1.00,0.00,0.00
GH109,0.58,0.07,0.75,1.00,0.78,0.40,0.42,0.00,1.00,0.95,1.00,1.00,0.00,0.00,0.86,1.00,0.86,0.00,0.10,0.00,0.06,0.17,1.00,0.04,0.83,1.00,0.13,0.29,1.00,0.00,0.09,0.00,0.00,0.25
GH10,0.00,0.07,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.65,1.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
