genome,MC02(8-10cmbsf),MC02(28-30cmbsf),D1T1(0-2cmbsf),D1T1(4-6cmbsf),D1T2(4-6cmbsf),D1T2(24-26cmbsf),T1B3R1(0-3cmbsf),T1B3R2(0-3cmbsf),T1B5(0-2cmbsf),T1B5(8-10cmbsf),T1B5(28-30cmbsf),T1B5(38-40cmbsf),T1B8(2-4cmbsf),T1B8(16-18cmbsf),T1L6T1(0-3cmbsf),T1L6T2(0-3cmbsf),T1B10(0-2cmbsf),T1B10(36-38cmbsf),T1B10(44-46cmbsf),T1B11(0-3cmbsf),T3L11(0-3cmbsf),T3L11(6-9cmbsf),T3L11(12-15cmbsf),T3L11(18-21cmbsf),T3L8(0-3cmbsf),T3L8(6-9cmbsf),T3L8(12-15cmbsf),T3L7(18-21cmbsf),T3L14(0-2cmbsf),T3L14(4-6cmbsf),T3L14(6-8cmbsf),T3L14(12-14cmbsf),T3L14(18-20cmbsf),T1L10(0-3cmbsf),T1L10(6-9cmbsf),T1L10(12-15cmbsf),T1L10(18-21cmbsf)
B51T1B5,0.02534756,0.022378178,0.017716693,0.024856608,0.10542521,0.076549865,0.059090745,0.043103207,0.054804076,0.12924647,0.11298336,0.11004739,0.08399287,0.032955457,0.10133273,0.11318919,0,0.10100001,0.0702068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B26T3L8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011346298,0.012296253,0.034104582,0.02274764,0.039015617,0.10427024,0.11364502,0,0,0,0.014186652,0.03145282,0.073165596,0,0.018269025,0.014398659,0
B4T1B10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1317575,2.1635761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B22D1T2,0,0.05734574,0.010533331,0.022026826,0.031871118,0.30598703,0,0,0,0,0.098037206,0.011985926,0.1079405,0.21304613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B23T3L11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11390577,0.026940346,0,0,0.031558566,0,0,0,0.0990175,0.055713482,0.050466336,0,0,0.031531446,0,0.00842439,0
B18T1L6,0,0,0,0,0,0,0.018580291,0,0,0,0,0.011981085,0.007176338,0.007276047,0.21844253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B71T1B8,0,0,0,0,0,0,0,0,0.010041379,0,0.0328566,0.021243643,0.09815953,0.04087115,0,0,0.055761628,0.035991125,0.030322386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B6T1B5,0.02820877,0.021981454,0,0.015603413,0.02548552,0.02498608,0.04725632,0.04471714,0.08182299,0.08903666,0.081474274,0.14257482,0.060531806,0.05901562,0.102139466,0.06950947,0.118915915,0.04861593,0.044903267,0.03954099,0.0300884,0.027809259,0.019786948,0.019022796,0.03263767,0.021168644,0,0.016989475,0,0.026833778,0.033310324,0,0,0.04517678,0.05379798,0.04291098,0.027296834
B25T1L6,0,0.025705352,0,0,0,0.037847828,0.030835224,0.035794154,0.027377177,0.032518405,0.041780867,0.038348343,0.006361912,0.061201338,0.1392752,0.13646163,0.08690401,0.015736826,0,0.18690678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B15D1T1,0,0.014965331,0.06765637,0.047586564,0,0,0.030625472,0.02652779,0.017947866,0.01435401,0,0.01840491,0.003416621,0.003995853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
