genome,MC02(8-10cmbsf),MC02(28-30cmbsf),D1T1(0-2cmbsf),D1T1(4-6cmbsf),D1T2(4-6cmbsf),D1T2(24-26cmbsf),T1B3R1(0-3cmbsf),T1B3R2(0-3cmbsf),T1B5(0-2cmbsf),T1B5(8-10cmbsf),T1B5(28-30cmbsf),T1B5(38-40cmbsf),T1B8(2-4cmbsf),T1B8(16-18cmbsf),T1L6T1(0-3cmbsf),T1L6T2(0-3cmbsf),T1B10(0-2cmbsf),T1B10(36-38cmbsf),T1B10(44-46cmbsf),T1B11(0-3cmbsf),T3L11(0-3cmbsf),T3L11(6-9cmbsf),T3L11(12-15cmbsf),T3L11(18-21cmbsf),T3L8(0-3cmbsf),T3L8(6-9cmbsf),T3L8(12-15cmbsf),T3L8(18-21cmbsf),T3L14(0-2cmbsf),T3L14(4-6cmbsf),T3L14(6-8cmbsf),T3L14(12-14cmbsf),T3L14(18-20cmbsf),T1L10(0-3cmbsf),T1L10(6-9cmbsf),T1L10(12-15cmbsf),T1L10(18-21cmbsf)
B13T3L8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032335028,0,0,0,0.107983,0,0,0,0,0,0,0,0,0
B21D1T1,0.20456314,0.13184881,0.05935799,0.14300436,0.13823014,0.12068014,0.054088194,0.043087687,0.20997067,0.24179082,0.318685,0.16878338,0.13630761,0.1262213,0.06739798,0.04509955,0.22276357,0.035096526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B40T1B5,0,0,0,0,0,0,0,0,0.019473607,0.02444834,0.07076625,0.07960041,0.036912624,0.044806782,0.01179544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B30T3L14,0,0,0,0,0,0,0,0,0,0,0,0,0.017624065,0.10181972,0,0,0,0.017121395,0.025994714,0,0.024478083,0.026209567,0,0,0.035813507,0,0,0,0.050938778,0.044133537,0.08407855,0.025092335,0,0.03190313,0.035401605,0.010533338,0
B91T1B8,0,0.032141812,0,0,0.03567851,0.19989616,0,0,0.023091048,0.13335454,0.34389374,0.38433185,0.51644975,1.1221712,0.060180962,0,0.17530775,0.13843948,0.18463527,0.07054657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010136925,0,0
B18T1B10,0,0,0,0,0,0.031949915,0,0.025360238,0.02636297,0.038850088,0.074622236,0.055590685,0.09693756,0.13439456,0.048217203,0.034671698,0.12457216,0.22143105,0.3455082,0.08055794,0,0,0,0,0,0.028995927,0,0,0,0,0,0,0,0,0.022729097,0.025458898,0
B40T1B10,0,0,0.007520632,0.010673245,0,0,0.033977382,0.039783776,0.017663008,0.012200992,0.016597554,0.0769567,0.0249062,0.039443616,0.026246125,0.027080044,0.3405356,0.19143414,0.085068375,0.08322223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B104T3L11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04095739,0.032181025,0.029910158,0,0.031044563,0.01735168,0,0,0.019658923,0.020306565,0.023932738,0.026069257,0,0.032139245,0.029636309,0.008830968,0
B31T3L11,0,0,0,0,0,0,0,0,0.007417303,0,0,0,0.01215343,0.012040321,0,0,0,0.112553924,0.039138626,0.032637388,0.1639381,0.11684305,0,0,0.04906981,0,0,0,0.039971456,0.08769149,0.08009531,0,0,0.05472468,0.014029834,0.010279126,0.021229632
B65T1B8,0,0,0,0,0,0,0,0,0,0,0,0,0.17972875,0.12909001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B33T3L8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017052602,0.029154409,0.069258355,0.042811934,0.09956328,0.19074495,0.40565872,0.017380439,0,0.021432413,0.036583696,0.07635207,0.18043023,0.02215385,0.036920134,0.032852955,0.0765961
B66T1B8,0,0,0,0,0,0,0,0,0,0,0,0.009537432,0.021721052,0.11677904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B69T1L10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009591515,0,0.016938133,0.013642439,0,0.030060982,0,0,0,0,0.009857233,0,0,0.038908765,0.035104454,0.036720384,0.036255024
B59T3L14,0,0,0,0,0,0,0,0,0,0.026375707,0,0,0.015586892,0.03253441,0.019700538,0.045122996,0,0,0,0,0,0.009737969,0.027728258,0,0,0.061527535,0,0,0.2123735,0.03196254,0.020191168,0.05730971,0,0,0.019684928,0.03287168,0
B29T3L11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061132863,0.14186336,0,0,0.09303266,0,0,0,0,0,0.11625685,0,0.011377567,0.027778396,0.03022906
B65T3L11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026058327,0.08686982,0.21979211,0.2522546,0.08601327,0.16613442,0.113949314,0.20268062,0,0.024447655,0.037244756,0.1093566,0.08596834,0.046966393,0.1947389,0.19751081,0.14402157
B11T1B3,0.02169423,0.014529531,0.011298741,0.015067536,0.022022989,0.011442884,0.108476035,0.09762944,0.03253236,0,0,0,0,0,0.013847971,0.03168488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B47T1L10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025911998,0.008825847,0,0.05282425,0.2118983,0,0,0,0,0,0,0,0.04211242,0.24545877,0.4442902
B24T1B8,0,0,0,0,0,0,0.024045797,0.021202642,0.02026821,0,0,0.007090017,0.03160471,0.03883654,0.025027607,0.014801546,0.065636925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B11T1L10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00409709,0.013949411,0,0,0,0.12215035,0,0.023364563,0.021621337,0.05745264,0,0.024885947,0.027817016,0,0,0.041325457,0.02613107,0.036407866,0.041349813,0,0.044306137,0.105462804,0.3826481,0.015049484
B21T3L8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40141568,0,0,0,0.3752592,0,0,0,0,0,0,0,0,0
B25T1B8,0,0,0,0,0,0,0.040288027,0.03765483,0.02541133,0.020238701,0.019325182,0.055127747,0.021801576,0.030495174,0.0325541,0.03622585,0,0.01497047,0.013325368,0.023974927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B29T3L8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011907981,0.054528475,0.03913564,0,0.15922028,0.2935631,0.015464065,0,0,0,0,0.17902704,0,0,0.10172307,0
B38T3L11,0,0,0,0,0,0,0,0,0,0,0.015604727,0.003882622,0.012179697,0.003312108,0,0,0,0.059812505,0.117798775,0,0.054508276,0.08392175,0.04454902,0.013676654,0.029153401,0.019307764,0,0.013144835,0,0.02240647,0.014929843,0,0,0.026186226,0.03806891,0.23823775,0.06948124
B12T3L14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100778855,0.08519574,0.014248814,0,0.15059386,0.10529058,0.034737967,0,0.2091175,0.11856411,0.19095851,0.14263788,0,0.1461542,0.09901701,0.0089041,0
B26T1L10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009447865,0,0,0,0,0.019958274,0.016373819,0.017450668,0.02472873,0,0,0.028753752,0,0,0,0.016520906,0.017458418,0.02800953,0,0.056777086,0.044106755,0.024953412,0
B101T1L10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01176111,0.020502843,0,0,0,0,0.07394802,0.10054941,0.08689427,0,0.09048211,0.11211416,0.05990802,0,0.12753876,0.0767861,0.08936476,0.10839687,0.057999145,0.12563337,0.09808784,0.048001293,0.044234265
B105T1B8,0,0,0,0,0,0,0,0,0,0,0,0,0.08500929,0,0,0,0,0,0,0.028519183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B20T3L8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01097282,0.012483679,0.0155725,0,0.03146689,0.07095025,0,0.02018697,0,0.01346376,0,0,0,0,0.026796663,0,0.048069328
B30T3L8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02579325,0.017476669,0,0,0,0.10692747,0.05695807,0,0.11121425,0.04947151,0.08689404,0,0,0,0.05315607,0.043517146,0,0.027576244,0.070615254,0.026554402
B33T1L10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019165572,0,0,0,0,0.02164986,0,0,0.013291838,0,0,0.025165189,0.028308976,0.0667324,0.06620479
B91T3L11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35481378,0,0,0,0.17200746,0,0,0,0,0,0,0,0,0
B27T3L8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170456,0.03010847,0.033590723,0.18934062,0.057396818,0.25123224,0,0,0,0.08917197,0.037508436,0,0.01727589,0,0.01693645
B79T1B8,0,0,0,0,0,0,0,0,0,0,0,0,0.002981176,0.13118856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B92T1B8,0,0,0,0,0,0.021699369,0,0,0,0,0,0,0.007889329,0.08904879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B58T1B5,0.09311974,0.049234807,0.044002395,0.08676802,0.19630195,0.030903064,0.028210204,0.049224526,0.12613453,0.19641897,0.18839574,0.26464745,0.14308755,0.23249032,0.061276827,0.031946868,0,0.013599228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B22T3L8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4502014,0,0,0.52584404,0.09835425,0,0,0,0,0.35907933,0,0,0,0.022956861
B15T3L11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010104609,0.022781808,0.061908238,0.013928099,0,0.025489682,0.034489747,0,0,0,0,0.03216447,0.027270678,0.015442567,0.06097863,0.088344805,0.026947703
B21T1B5,0,0,0,0,0,0,0,0,0,0,0.067040026,0.08092029,0.003104991,0.019866081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B11T1B8,0,0,0,0,0,0,0,0,0.009093466,0,0,0.021805784,0.040973045,0.04458949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B75T3L11,0,0,0,0,0,0,0,0,0,0,0,0,0.016925277,0.00544939,0,0,0,0,0,0,0.03415862,0.02035199,0.045881394,0.19963796,0,0.021176424,0.03977571,0.059869092,0.029797813,0,0.024362028,0,0.03495604,0,0,0.014794857,0.051739298
B74T3L11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12759443,0,0,0,0.07196304,0,0,0,0,0,0,0.007898666,0.019346662,0
B18T1B5,0.019237388,0,0.00924492,0.012567636,0.037414376,0.019077828,0,0,0.035834536,0.098940775,0.07019011,0.022054557,0.06292112,0.047020018,0.018599156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B92T3L11,0,0,0,0,0,0,0,0,0,0,0,0.012569266,0,0,0,0,0,0.052799903,0.12472132,0.025677478,0.15087041,0.1556773,0.84755903,0.22227435,0.18344907,0.28732258,0.25159106,0.08335968,0.0942287,0.08491079,0.15423234,0.35028923,0.4555526,0.19079715,0.42279926,0.41026202,0.32889003
B32T3L8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058055818,0,0,0,0.12442957,0,0,0,0,0,0,0,0,0
B16T1B3,0.11341774,0.13492702,0.5109934,0.31557244,0.034900315,0,0.78301895,0.36960113,0.1438486,0.013144994,0,0,0.003974182,0.002630802,0.40834895,0.921349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B20T1B11,0.024351276,0.05065323,0.007887166,0.011478698,0.019488247,0.04014561,0.03015827,0.040314257,0.036095683,0.032636553,0.06833074,0.06749039,0.06644723,0.077236585,0.067180894,0.058838323,0.09419667,0.05205424,0.12605198,0.6062111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B76T1L10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005265705,0,0,0,0,0.028446173,0,0,0.013959823,0.036337506,0.013577348,0.0697571,0.1407887,0.033565637,0,0,0,0.013110723,0.074686244,0.026431514,0.059652574,0.04148991,0.18841876,0.024129126
B73T1B5,0,0.017437236,0,0,0.027091736,0.06639733,0,0,0,0.043190595,0.29833388,0.14158878,0.28434405,0.3895108,0.039127238,0.029569061,0,0.08823096,0.15437879,0.110935085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B11D1T2,0.021163493,0.04467972,0,0,0.07121707,0.07860089,0,0,0.020579064,0.01586017,0,0,0.01910125,0.006043116,0.017794227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B54T3L11,0,0,0,0,0,0,0,0.030697877,0.011207037,0.011697474,0,0.006671997,0.003699401,0.006827032,0.02300709,0,0.09802476,0.032004382,0,0.04143534,0.046364553,0.056460354,0.05136213,0,0.093490876,0.090576425,0.05507886,0,0.038477805,0.04472592,0.072990835,0.100509465,0.07058825,0.07990357,0.11085483,0.055181544,0.042730693
B21T1B11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1825076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B37T1B5,0,0,0,0,0,0,0.020505868,0.023259504,0.031530853,0.03429729,0.082747065,0.21115912,0.06193692,0.07245494,0.030237235,0.024077082,0,0.034445293,0.044069648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3T1B10,0,0,0,0,0,0,0,0,0.028337099,0.03209274,0.022675876,0.04992235,0.025206413,0.01915402,0.056516685,0.0364723,0.25494868,0.12839262,0.11314934,0.051755946,0.111765616,0.09373745,0.07218484,0.046941005,0.09340214,0.06921942,0.036648348,0.049859323,0.07276944,0.0879758,0.12763712,0.113885805,0.06826132,0.15820032,0.21706387,0.201361,0.10679438
B38T3L14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10522858,0.08370869,0,0,0.08288716,0.020879146,0,0,0.14240362,0.1152388,0.12783545,0.06695249,0,0.11110525,0.042812634,0.015006823,0
B17T1L10,0,0,0,0,0,0,0,0,0,0.019732986,0,0,0,0,0,0,0,0,0.016190317,0,0.026588995,0.025073733,0.05471675,0.022575727,0.05328172,0.058010705,0.07897311,0,0.030827202,0.03367848,0.044857867,0.052033957,0.08824779,0.07985231,0.05721826,0.086500145,0.027375728
B52T3L14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009833957,0.012278645,0.012439474,0,0,0.018911056,0,0,0.025314573,0.020581463,0.040238317,0.054721966,0,0,0.032502428,0.010153293,0.014586442
B35T1L10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034811627,0.032816667,0.025596969,0,0.044235416,0.03785575,0,0,0.038499955,0.03996547,0.04464979,0.046556532,0,0.04788472,0.056411248,0.044337444,0.02425897
B5T1B11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8966783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B52T3L11,0,0,0,0,0,0,0,0,0,0.011465399,0,0,0,0,0.015176343,0.014817166,0,0,0,0,0,0,0.8197808,0.043128215,0,0,0.064996414,0,0.07538548,0.044455506,0,0,0.20178787,0,0.018352145,0.07661232,0.017244283
B17D1T2,0,0,0,0,0,0.17906432,0,0,0,0,0,0.005624236,0.06942057,0.019255422,0,0,0,0.018701108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011359639,0,0
B107T1L10,0,0,0,0,0,0,0,0.019541379,0,0,0,0,0,0,0.015402855,0,0,0,0,0.055484593,0.022309866,0.019985836,0,0,0.057566445,0.027512196,0,0,0.029422266,0.030016366,0.029272899,0,0,0.09156361,0.058037512,0.059943575,0.024752254
B67T1L10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015134377,0.017930549,0.024115596,0,0.02360562,0.030743955,0,0,0,0.014734062,0.024229215,0.0349719,0,0.033731665,0.09406273,0.032189947,0.04954391
B13T3L14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01863257,0.016665371,0,0,0.021886304,0,0,0,0.05404202,0.03427942,0.05361757,0.047551624,0,0.017169781,0.011779578,0.008531761,0
